epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2831,0.65033,4.34148,0.00825,0.02625,0.55556,0.02816,0.01891,0.41238,5.0537,0.0075,8e-05,8e-05,8e-05
2,43.9693,0.61698,3.68489,0.00854,0.66188,0.54438,0.65412,0.58953,0.54928,2.81171,0.01052,0.00017703,0.00017703,0.00017703
3,48.8756,0.77831,2.77683,0.01244,0.93108,0.75149,0.83313,0.71683,0.60279,1.55071,0.01101,0.00027076,0.00027076,0.00027076
4,52.218,0.72536,1.77701,0.01085,0.94362,0.9305,0.96321,0.84036,0.49493,1.01013,0.00911,0.00036119,0.00036119,0.00036119
5,55.5196,0.85783,1.58637,0.01124,0.91277,0.72222,0.83521,0.66597,0.67291,1.64351,0.01224,0.00044832,0.00044832,0.00044832
6,58.703,0.72666,1.16869,0.01099,0.90116,0.88889,0.90557,0.73686,0.68953,1.53269,0.01278,0.00053215,0.00053215,0.00053215
7,63.485,0.82263,1.06838,0.01255,0.88096,0.82285,0.87421,0.73211,0.77145,1.21787,0.01513,0.00061268,0.00061268,0.00061268
8,66.8058,0.85623,0.99577,0.01375,0.9734,0.88889,0.95185,0.67593,1.15468,1.0474,0.02262,0.00068991,0.00068991,0.00068991
9,69.8602,0.89991,0.90792,0.01396,0.94523,0.95935,0.98658,0.75161,0.85117,0.69243,0.0161,0.00076384,0.00076384,0.00076384
10,72.9926,0.88594,0.83843,0.01361,1,0.83042,0.91301,0.76338,0.72529,0.66522,0.01381,0.00083447,0.00083447,0.00083447
11,77.5619,0.93564,0.767,0.01378,0.92746,0.71097,0.81194,0.68358,0.68186,1.12192,0.01292,0.0009018,0.0009018,0.0009018
12,81.3696,0.91735,0.8079,0.01431,1,0.93502,0.965,0.7637,0.84438,0.48309,0.01555,0.00096583,0.00096583,0.00096583
13,84.427,0.83963,0.74579,0.01195,0.9443,0.94193,0.95139,0.78313,0.70426,0.51875,0.01358,0.00102656,0.00102656,0.00102656
14,87.4584,0.96461,0.65233,0.01616,0.94001,0.94444,0.96857,0.77396,0.79692,0.41591,0.01571,0.00108399,0.00108399,0.00108399
15,91.4804,0.84266,0.66023,0.01315,0.88076,0.88889,0.91263,0.6728,0.86274,0.5954,0.01799,0.00113812,0.00113812,0.00113812
16,95.5287,0.86669,0.50266,0.01242,0.9914,0.94444,0.99237,0.77936,0.77858,0.32207,0.01635,0.00118895,0.00118895,0.00118895
17,98.4863,0.89677,0.51963,0.01347,1,0.94023,0.94589,0.8028,0.62098,0.39993,0.01219,0.00123648,0.00123648,0.00123648
18,101.477,0.90635,0.55413,0.01246,0.99356,0.88889,0.9707,0.83738,0.65595,0.35607,0.0129,0.00128071,0.00128071,0.00128071
19,104.97,0.93756,0.635,0.01317,0.94431,0.94219,0.98389,0.83233,0.69548,0.31761,0.01365,0.00132164,0.00132164,0.00132164
20,109.529,0.95646,0.5064,0.01527,0.99687,1,0.995,0.80614,0.80676,0.29725,0.01646,0.00135927,0.00135927,0.00135927
21,112.581,0.92309,0.46933,0.01491,0.99376,1,0.995,0.82558,0.69595,0.36625,0.01331,0.00134,0.00134,0.00134
22,115.608,0.83112,0.48644,0.01188,0.94237,1,0.99237,0.77406,0.82721,0.50241,0.0158,0.001307,0.001307,0.001307
23,118.693,0.84956,0.4817,0.01273,0.94347,1,0.98079,0.82782,0.62016,0.35197,0.01195,0.001274,0.001274,0.001274
24,122.878,0.83754,0.3281,0.01208,0.94096,1,0.96026,0.78587,0.80325,0.35139,0.01696,0.001241,0.001241,0.001241
25,126.616,0.87072,0.41178,0.01378,0.98828,0.94444,0.99,0.80689,0.67619,0.31778,0.01309,0.001208,0.001208,0.001208
26,129.897,0.72547,0.42306,0.0108,0.99291,1,0.995,0.84023,0.68516,0.26884,0.01395,0.001175,0.001175,0.001175
27,133.012,0.81087,0.41163,0.01174,0.9445,1,0.995,0.86547,0.59386,0.28969,0.01187,0.001142,0.001142,0.001142
28,136.952,0.80714,0.36727,0.01231,0.89495,1,0.984,0.77348,0.82553,0.36754,0.01703,0.001109,0.001109,0.001109
29,140.999,0.79257,0.37502,0.01116,0.98245,0.88889,0.96933,0.76075,0.83539,0.46834,0.01708,0.001076,0.001076,0.001076
30,144.136,0.86065,0.34194,0.01402,1,0.88571,0.97959,0.81381,0.6628,0.40617,0.01312,0.001043,0.001043,0.001043
31,147.112,0.90038,0.47486,0.01432,0.97894,0.94444,0.99,0.80246,0.78918,0.55157,0.01643,0.00101,0.00101,0.00101
32,150.345,0.89415,0.41128,0.01415,0.9202,0.88889,0.92892,0.75875,0.76338,0.79134,0.01465,0.000977,0.000977,0.000977
33,154.874,0.83095,0.38681,0.01279,0.87218,0.88889,0.9265,0.76448,0.67011,0.76217,0.01268,0.000944,0.000944,0.000944
34,158.411,0.80631,0.35569,0.01276,0.8483,0.94444,0.92544,0.77582,0.67495,0.66643,0.01274,0.000911,0.000911,0.000911
35,161.325,0.85464,0.39363,0.0131,0.89015,0.94444,0.9408,0.79399,0.69413,0.5724,0.01288,0.000878,0.000878,0.000878
36,164.417,0.74355,0.35304,0.01117,0.89474,0.94443,0.94083,0.78923,0.71775,0.52425,0.0142,0.000845,0.000845,0.000845
37,168.558,0.74109,0.35985,0.01141,0.89116,0.9105,0.93514,0.79836,0.60844,0.54083,0.01217,0.000812,0.000812,0.000812
38,172.626,0.67725,0.32499,0.01011,0.96255,0.88889,0.96772,0.84457,0.52056,0.47389,0.01013,0.000779,0.000779,0.000779
39,175.626,0.74512,0.37038,0.01127,0.93967,0.94444,0.97381,0.82792,0.58487,0.46805,0.01117,0.000746,0.000746,0.000746
40,178.853,0.751,0.31277,0.01118,0.92878,0.94444,0.97167,0.81941,0.66526,0.41231,0.01275,0.000713,0.000713,0.000713
41,182.316,0.76848,0.36181,0.01096,0.97622,0.88889,0.96972,0.82866,0.62089,0.44461,0.01169,0.00068,0.00068,0.00068
42,186.632,0.72421,0.32806,0.01186,0.96398,0.88889,0.9733,0.83193,0.61085,0.4431,0.01172,0.000647,0.000647,0.000647
43,189.754,0.70825,0.34226,0.01054,0.94285,0.94444,0.97962,0.81925,0.63928,0.43441,0.01277,0.000614,0.000614,0.000614
44,193.044,0.67927,0.29181,0.01025,0.94118,0.94444,0.981,0.83947,0.64383,0.42261,0.01257,0.000581,0.000581,0.000581
45,196.197,0.7408,0.4213,0.01202,0.93628,0.94444,0.97833,0.85311,0.57676,0.44033,0.01077,0.000548,0.000548,0.000548
46,201.108,0.75232,0.34959,0.01147,0.8873,0.94444,0.96789,0.85375,0.54298,0.40415,0.0102,0.000515,0.000515,0.000515
47,204.602,0.66368,0.25967,0.01004,0.89197,0.94444,0.96302,0.84953,0.53007,0.44306,0.00988,0.000482,0.000482,0.000482
48,207.68,0.72217,0.43232,0.01034,0.84903,0.93762,0.95084,0.83793,0.56827,0.46321,0.01054,0.000449,0.000449,0.000449
49,210.691,0.72503,0.33414,0.01126,0.80772,0.94444,0.93379,0.8227,0.53431,0.48864,0.00976,0.000416,0.000416,0.000416
50,214.887,0.58006,0.3504,0.00897,0.79999,0.94444,0.94616,0.84203,0.48938,0.44137,0.00893,0.000383,0.000383,0.000383
51,225.078,0.4049,0.27207,0.00804,0.98293,0.88889,0.97781,0.86006,0.51206,0.34524,0.00922,0.00035,0.00035,0.00035
52,232.757,0.43108,0.24392,0.0084,0.94421,0.94444,0.97833,0.84483,0.54905,0.4168,0.00999,0.000317,0.000317,0.000317
53,237.112,0.48836,0.26281,0.00943,0.94373,0.94444,0.98591,0.85481,0.53848,0.351,0.00974,0.000284,0.000284,0.000284
54,240.8,0.45075,0.19494,0.00898,0.94784,0.94444,0.98786,0.90915,0.48632,0.31339,0.00886,0.000251,0.000251,0.000251
55,245.066,0.40924,0.16322,0.00846,0.96732,0.94444,0.99,0.91754,0.45034,0.28234,0.00824,0.000218,0.000218,0.000218
56,249.168,0.36434,0.16826,0.00664,0.98976,0.94444,0.98786,0.92028,0.43423,0.21357,0.00807,0.000185,0.000185,0.000185
57,252.084,0.44063,0.18259,0.00873,1,0.94023,0.99,0.92881,0.427,0.22128,0.00789,0.000152,0.000152,0.000152
58,255.052,0.45291,0.20123,0.00917,0.89929,0.99249,0.984,0.92513,0.42706,0.24953,0.00787,0.000119,0.000119,0.000119
59,259.016,0.37817,0.16615,0.00783,0.89984,0.99834,0.984,0.92502,0.42338,0.25542,0.00786,8.6e-05,8.6e-05,8.6e-05
60,263.412,0.38651,0.15696,0.00692,0.89764,1,0.98667,0.92678,0.42617,0.23559,0.00786,5.3e-05,5.3e-05,5.3e-05
